id, barrio, comuna
1,"AGRONOMIA",15
2,"ALMAGRO",5
3,"BALVANERA",3
4,"BARRACAS",4
5,"BELGRANO",13
6,"BOCA",4
7,"BOEDO",5
8,"CABALLITO",6
9,"CHACARITA",15
10,"COGHLAN",12
11,"COLEGIALES",13
12,"CONSTITUCION",1
13,"FLORES",7
14,"FLORESTA",10
15,"LINIERS",9
16,"MATADEROS",9
17,"MONSERRAT",1
18,"MONTE CASTRO",10
19,"NUEVA POMPEYA",4
20,"NUÑEZ",13
21,"PALERMO",14
22,"PARQUE AVELLANEDA",9
23,"PARQUE CHACABUCO",7
24,"PARQUE CHAS",15
25,"PARQUE PATRICIOS",4
26,"PATERNAL",15
27,"PUERTO MADERO",1
28,"RECOLETA",2
29,"RETIRO",1
30,"SAAVEDRA",12
31,"SAN CRISTOBAL",3
32,"SAN NICOLAS",1
33,"SAN TELMO",1
34,"VELEZ SARSFIELD",10
35,"VERSALLES",10
36,"VILLA CRESPO",15
37,"VILLA DEL PARQUE",11
38,"VILLA DEVOTO",11
39,"VILLA GRAL. MITRE",11
40,"VILLA LUGANO",8
41,"VILLA LURO",10
42,"VILLA ORTUZAR",15
43,"VILLA PUEYRREDON",12
44,"VILLA REAL",10
45,"VILLA RIACHUELO",8
46,"VILLA SANTA RITA",11
47,"VILLA SOLDATI",8
48,"VILLA URQUIZA",12
